# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
100.03470668707078	1.414729e+00	7.073645e-01	7.073645e-01	-1.328993e-01	-6.864853e-02	-6.425077e-02	-2.198881e-03	3.301295e-20	9.484071e-21	2.657754e-19	1.423718e-19	1.234036e-19
100.09106974762149	1.422428e+00	7.112138e-01	7.112138e-01	-1.951350e-01	-9.984479e-02	-9.529022e-02	-2.277285e-03	3.648854e-20	7.163094e-21	2.651786e-19	1.397524e-19	1.254262e-19
100.14739113463108	1.426252e+00	7.131262e-01	7.131262e-01	-2.639980e-01	-1.343290e-01	-1.296690e-01	-2.329992e-03	4.021337e-20	5.679602e-21	2.655060e-19	1.384326e-19	1.270734e-19
100.20369206561617	1.440742e+00	7.203709e-01	7.203709e-01	-3.409059e-01	-1.728054e-01	-1.681005e-01	-2.352433e-03	4.466790e-20	5.223665e-21	2.687862e-19	1.396168e-19	1.291694e-19
100.26000959528226	1.451740e+00	7.258698e-01	7.258698e-01	-4.108117e-01	-2.077648e-01	-2.030469e-01	-2.358957e-03	4.899594e-20	4.880726e-21	2.717040e-19	1.407327e-19	1.309712e-19
100.31638500611963	1.455410e+00	7.277051e-01	7.277051e-01	-4.872529e-01	-2.459432e-01	-2.413097e-01	-2.316734e-03	5.345755e-20	3.861105e-21	2.717034e-19	1.397128e-19	1.319906e-19
100.37284911064425	1.467284e+00	7.336419e-01	7.336419e-01	-5.595531e-01	-2.820362e-01	-2.775169e-01	-2.259645e-03	5.745475e-20	2.196018e-21	2.710319e-19	1.377120e-19	1.333199e-19
100.42942592969956	1.482934e+00	7.414672e-01	7.414672e-01	-6.208994e-01	-3.126231e-01	-3.082763e-01	-2.173423e-03	6.095184e-20	9.155331e-22	2.698887e-19	1.358599e-19	1.340288e-19
100.48613549074423	1.497346e+00	7.486732e-01	7.486732e-01	-6.818093e-01	-3.429702e-01	-3.388391e-01	-2.065571e-03	6.454347e-20	-1.064987e-22	2.700067e-19	1.348969e-19	1.351099e-19
100.5429949793199	1.507345e+00	7.536725e-01	7.536725e-01	-7.383476e-01	-3.711252e-01	-3.672223e-01	-1.951456e-03	6.777220e-20	-1.298777e-21	2.683646e-19	1.328835e-19	1.354811e-19
100.59940573955845	1.515668e+00	7.578339e-01	7.578339e-01	-7.881473e-01	-3.959036e-01	-3.922438e-01	-1.829913e-03	7.078401e-20	-2.244288e-21	2.680137e-19	1.317626e-19	1.362511e-19
100.65545366204063	1.532041e+00	7.660207e-01	7.660207e-01	-8.366856e-01	-4.200356e-01	-4.166499e-01	-1.692850e-03	7.386832e-20	-2.609713e-21	2.685927e-19	1.316866e-19	1.369060e-19
100.71122322027277	1.549443e+00	7.747217e-01	7.747217e-01	-8.907232e-01	-4.469080e-01	-4.438153e-01	-1.546329e-03	7.672573e-20	-3.548680e-21	2.677425e-19	1.303226e-19	1.374199e-19
100.76676830876892	1.565312e+00	7.826562e-01	7.826562e-01	-9.371700e-01	-4.699818e-01	-4.671882e-01	-1.396773e-03	7.900330e-20	-4.422287e-21	2.672739e-19	1.292147e-19	1.380593e-19
100.82213930208312	1.572339e+00	7.861694e-01	7.861694e-01	-9.767307e-01	-4.896159e-01	-4.871147e-01	-1.250583e-03	8.087715e-20	-5.266736e-21	2.663197e-19	1.278931e-19	1.384266e-19
100.87740048200577	1.584722e+00	7.923611e-01	7.923611e-01	-1.000698e+00	-5.014502e-01	-4.992473e-01	-1.101442e-03	8.140864e-20	-6.223587e-21	2.656934e-19	1.266231e-19	1.390703e-19
100.93258510163284	1.597458e+00	7.987289e-01	7.987289e-01	-1.024785e+00	-5.133420e-01	-5.114431e-01	-9.494624e-04	8.148930e-20	-7.378707e-21	2.636967e-19	1.244696e-19	1.392271e-19
100.98769402189518	1.607169e+00	8.035845e-01	8.035845e-01	-1.043683e+00	-5.226297e-01	-5.210529e-01	-7.884004e-04	8.154726e-20	-8.964343e-21	2.615279e-19	1.217996e-19	1.397283e-19
101.04271574956945	1.617302e+00	8.086510e-01	8.086510e-01	-1.058966e+00	-5.301225e-01	-5.288439e-01	-6.392986e-04	8.164451e-20	-9.757815e-21	2.622079e-19	1.213461e-19	1.408618e-19
101.09763809381633	1.631684e+00	8.158421e-01	8.158421e-01	-1.073037e+00	-5.370031e-01	-5.360344e-01	-4.843804e-04	8.230578e-20	-1.109056e-20	2.618623e-19	1.198406e-19	1.420217e-19
101.15221839468569	1.647333e+00	8.236664e-01	8.236664e-01	-1.083781e+00	-5.422143e-01	-5.415666e-01	-3.238569e-04	8.220069e-20	-1.133223e-20	2.645765e-19	1.209560e-19	1.436205e-19
